DATE,FLIGHT_NUM,WAY,HAUL,PLANE,TEAM,NUMBER,START,END
20170620,1141,Arrival,Moyen,321,POLY,2,19:50:00,21:10:00
20170620,1141,Arrival,Moyen,321,RZA,1,19:45:00,21:20:00
20170620,1141,Arrival,Moyen,321,ASA,1,19:50:00,21:10:00
20170620,1142,Departure,Moyen,318,POLY,1,14:55:00,15:10:00
20170620,1142,Departure,Moyen,318,RZA,1,13:55:00,15:25:00
20170620,1143,Arrival,Moyen,318,POLY,1,18:00:00,19:00:00
20170620,1143,Arrival,Moyen,318,RZA,1,17:50:00,19:15:00
20170620,1144,Departure,Moyen,319,POLY,1,17:55:00,19:10:00
20170620,1145,Arrival,Moyen,319,POLY,1,11:35:00,11:50:00
20170620,1145,Arrival,Moyen,319,RZA,1,11:35:00,12:20:00
20170620,1147,Arrival,Moyen,320,POLY,2,15:00:00,16:15:00
20170620,1147,Arrival,Moyen,320,RZA,1,14:55:00,16:25:00
20170620,1147,Arrival,Moyen,320,ASA,1,15:00:00,16:15:00
20170620,1148,Departure,Moyen,321,ASA,1,6:35:00,7:40:00
20170620,1148,Departure,Moyen,321,POLY,2,6:35:00,7:40:00
20170620,1148,Departure,Moyen,321,RZA,1,6:25:00,7:50:00
20170620,1149,Arrival,Moyen,321,POLY,2,11:45:00,12:40:00
20170620,1149,Arrival,Moyen,321,RZA,1,11:45:00,12:40:00
20170620,1149,Arrival,Moyen,321,ASA,1,11:45:00,12:35:00
20170620,1151,Arrival,Moyen,318,POLY,1,14:00:00,15:05:00
20170620,1151,Arrival,Moyen,318,RZA,1,13:50:00,15:20:00
20170620,1164,Departure,Moyen,319,POLY,1,7:50:00,8:05:00
20170620,1164,Departure,Moyen,319,RZA,1,6:50:00,8:20:00
20170620,1165,Arrival,Moyen,319,POLY,1,11:25:00,12:30:00
20170620,1165,Arrival,Moyen,319,RZA,1,11:15:00,12:45:00
20170620,1168,Departure,Moyen,320,ASA,1,17:25:00,18:30:00
20170620,1168,Departure,Moyen,320,POLY,2,17:25:00,18:30:00
20170620,1168,Departure,Moyen,320,RZA,1,17:15:00,18:40:00
20170620,1169,Arrival,Moyen,320,POLY,2,22:00:00,22:45:00
20170620,1169,Arrival,Moyen,320,RZA,1,22:00:00,22:45:00
20170620,1169,Arrival,Moyen,320,ASA,1,21:55:00,22:35:00
20170620,1179,Arrival,Moyen,320,POLY,2,14:40:00,15:50:00
20170620,1179,Arrival,Moyen,320,RZA,1,14:35:00,16:00:00
20170620,1179,Arrival,Moyen,320,ASA,1,14:35:00,15:50:00
20170620,1180,Departure,Moyen,319,POLY,1,18:55:00,19:10:00
20170620,1180,Departure,Moyen,319,RZA,1,17:55:00,19:25:00
20170620,1181,Arrival,Moyen,318,POLY,1,21:50:00,22:05:00
20170620,1181,Arrival,Moyen,318,RZA,1,21:50:00,22:35:00
20170620,1184,Departure,Moyen,319,POLY,1,12:50:00,13:55:00
20170620,1185,Arrival,Moyen,319,POLY,1,19:35:00,20:55:00
20170620,1185,Arrival,Moyen,319,RZA,1,19:25:00,21:10:00
20170620,1194,Departure,Moyen,321,ASA,1,15:15:00,16:20:00
20170620,1194,Departure,Moyen,321,POLY,2,15:15:00,16:20:00
20170620,1194,Departure,Moyen,321,RZA,1,15:05:00,16:30:00
20170620,1195,Arrival,Moyen,321,POLY,2,21:55:00,22:40:00
20170620,1195,Arrival,Moyen,321,RZA,1,21:55:00,22:40:00
20170620,1195,Arrival,Moyen,321,ASA,1,21:55:00,22:35:00
20170620,1197,Arrival,Moyen,320,POLY,2,22:00:00,22:45:00
20170620,1197,Arrival,Moyen,320,RZA,1,22:00:00,22:45:00
20170620,1197,Arrival,Moyen,320,ASA,1,22:00:00,22:35:00
20170620,1204,Departure,Moyen,321,ASA,1,6:20:00,7:25:00
20170620,1204,Departure,Moyen,321,POLY,2,6:20:00,7:25:00
20170620,1204,Departure,Moyen,321,RZA,1,6:10:00,7:35:00
20170620,1205,Arrival,Moyen,321,POLY,2,12:20:00,13:40:00
20170620,1205,Arrival,Moyen,321,RZA,1,12:15:00,13:50:00
20170620,1205,Arrival,Moyen,321,ASA,1,12:20:00,13:40:00
20170620,1212,Departure,Moyen,318,POLY,1,7:10:00,7:25:00
20170620,1212,Departure,Moyen,318,RZA,1,6:10:00,7:40:00
20170620,1213,Arrival,Moyen,318,RZA,1,11:00:00,12:55:00
20170620,1226,Departure,Moyen,318,POLY,1,14:50:00,15:05:00
20170620,1226,Departure,Moyen,318,RZA,1,13:50:00,15:20:00
20170620,1227,Arrival,Moyen,318,RZA,1,19:00:00,19:55:00
20170620,1228,Departure,Moyen,318,POLY,1,7:20:00,7:35:00
20170620,1228,Departure,Moyen,318,RZA,1,6:20:00,7:50:00
20170620,1229,Arrival,Moyen,318,RZA,1,11:25:00,13:15:00
20170620,1232,Departure,Moyen,319,POLY,1,6:40:00,6:55:00
20170620,1232,Departure,Moyen,319,RZA,1,5:40:00,7:10:00
20170620,1233,Arrival,Moyen,319,POLY,1,14:05:00,14:20:00
20170620,1233,Arrival,Moyen,319,RZA,1,14:05:00,14:50:00
20170620,1238,Departure,Moyen,319,POLY,1,16:25:00,17:30:00
20170620,1239,Arrival,Moyen,319,POLY,1,22:05:00,22:20:00
20170620,1239,Arrival,Moyen,319,RZA,1,22:05:00,22:50:00
20170620,1240,Departure,Moyen,321,ASA,1,6:25:00,7:30:00
